Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
05/05/2009;10,16;1,00038406;191.178.287.870,99;1017;10,15;10,16;10,16;0,123;160,293;
04/05/2009;10,16;1,00038406;183.687.241.833,93;1033;10,14;10,16;10,16;0,142;115,49;
30/04/2009;10,16;1,00038406;209.409.107.895,9;1055;10,16;10,16;10,16;0,162;71,379;
29/04/2009;11,15;1,00041957;207.410.111.613,95;1300;11,13;11,15;11,15;0,144;100,566;
28/04/2009;11,16;1,00041993;200.653.679.042,52;977;11,14;11,16;11,16;0,123;153,695;
27/04/2009;11,16;1,00041993;207.281.951.524,1;981;11,15;11,16;11,16;0,099;251,161;
24/04/2009;11,16;1,00041993;219.648.276.033,42;935;11,15;11,16;11,16;0,097;259,647;
23/04/2009;11,16;1,00041993;219.757.334.164,32;876;11,15;11,16;11,16;0,091;299,987;
22/04/2009;11,16;1,00041993;227.207.141.919,42;849;11,15;11,16;11,16;0,099;1.407,894;
20/04/2009;11,16;1,00041993;225.877.408.592,39;869;11,15;11,16;11,16;0,098;273,998;
17/04/2009;11,16;1,00041993;211.729.972.056,48;939;11,15;11,16;11,16;0,104;231,789;
16/04/2009;11,16;1,00041993;216.415.708.448,5;928;11,15;11,16;11,16;0,116;321,331;
15/04/2009;11,16;1,00041993;219.445.624.109,02;996;11,15;11,16;11,16;0,11;183,575;
14/04/2009;11,16;1,00041993;213.770.721.171,44;1263;11,15;11,16;11,16;0,113;186,058;
13/04/2009;11,16;1,00041993;218.680.079.688;968;11,15;11,16;11,16;0,113;195,536;
09/04/2009;11,16;1,00041993;221.069.354.337,11;1252;11,15;11,16;11,16;0,112;194,451;
08/04/2009;11,16;1,00041993;219.265.659.016,58;1213;11,15;11,16;11,16;0,113;189,397;
07/04/2009;11,16;1,00041993;209.019.952.172,08;951;11,15;11,16;11,16;0,11;204,574;
06/04/2009;11,16;1,00041993;213.010.486.273,61;935;11,15;11,16;11,16;0,115;184,242;
03/04/2009;11,16;1,00041993;215.903.746.501,96;1222;11,15;11,16;11,16;0,129;153,646;
02/04/2009;11,16;1,00041993;235.324.695.291,82;1250;11,15;11,16;11,16;0,13;151,366;
01/04/2009;11,16;1,00041993;233.504.351.834,6;989;11,15;11,16;11,16;0,127;155,41;
31/03/2009;11,16;1,00041993;193.979.621.157,45;1297;11,15;11,16;11,16;0,128;146,483;
30/03/2009;11,16;1,00041993;202.194.234.190,96;1285;11,15;11,16;11,16;0,125;157,349;
27/03/2009;11,16;1,00041993;208.446.470.813,43;1205;11,15;11,16;11,16;0,112;197,092;
26/03/2009;11,16;1,00041993;209.066.945.686,8;1209;11,15;11,16;11,16;0,091;303,911;
25/03/2009;11,16;1,00041993;213.162.644.562,74;1223;11,15;11,16;11,16;0,094;281,325;
24/03/2009;11,16;1,00041993;208.757.760.963,14;995;11,15;11,16;11,16;0,096;271,905;
23/03/2009;11,16;1,00041993;210.147.213.870,84;961;11,15;11,16;11,16;0,098;264,821;
20/03/2009;11,16;1,00041993;234.924.994.180,61;857;11,15;11,16;11,16;0,086;333,728;
19/03/2009;11,16;1,00041993;237.339.787.770,79;802;11,15;11,16;11,16;0,092;291,651;
18/03/2009;11,16;1,00041993;232.886.598.934,78;902;11,15;11,16;11,16;0,1;244,55;
17/03/2009;11,16;1,00041993;201.340.510.058,54;1206;11,15;11,16;11,16;0,102;242,186;
16/03/2009;11,16;1,00041993;200.328.538.993,18;1179;11,15;11,16;11,16;0,101;245,272;
13/03/2009;11,16;1,00041993;209.268.741.394,42;1208;11,15;11,16;11,16;0,101;242,962;
12/03/2009;11,16;1,00041993;212.147.638.323,32;906;11,15;11,16;11,16;0,123;158,314;
11/03/2009;12,66;1,00047314;214.822.688.733,44;1477;12,63;12,66;12,66;0,171;68,774;
10/03/2009;12,66;1,00047314;208.298.241.423,51;956;12,65;12,66;12,66;0,112;200,197;
09/03/2009;12,66;1,00047314;206.576.302.135,57;1168;12,65;12,66;12,66;0,115;188,377;
06/03/2009;12,66;1,00047314;207.515.370.992,11;1156;12,65;12,66;12,66;0,108;213,445;
05/03/2009;12,66;1,00047314;214.880.882.274,39;1193;12,65;12,66;12,66;0,12;175,621;
04/03/2009;12,66;1,00047314;212.563.217.685,48;1171;12,65;12,66;12,66;0,109;215,889;
