Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2010 / Data final: 02/01/2020.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
03/07/2019;6,4;1,00024620;506.870.386.370,5;877;6,4;6,39;6,4;0,022;388,954;
02/07/2019;6,4;1,00024620;509.242.324.783,93;885;6,4;6,39;6,4;0,029;370,313;
01/07/2019;6,4;1,00024620;505.333.430.320,59;879;6,4;6,39;6,4;0,023;316,022;
28/06/2019;6,4;1,00024620;395.758.642.595,64;902;6,39;6,39;6,4;0,042;297,062;
27/06/2019;6,4;1,00024620;419.654.705.376,37;873;6,4;6,39;6,4;0,028;265,179;
26/06/2019;6,4;1,00024620;412.462.783.397,87;855;6,4;6,39;6,4;0,031;127,434;
25/06/2019;6,4;1,00024620;416.286.632.175,7;894;6,4;6,39;6,4;0,031;360,125;
24/06/2019;6,4;1,00024620;414.505.124.062,54;893;6,4;6,39;6,4;0,03;237,265;
21/06/2019;6,4;1,00024620;401.963.048.395,44;890;6,4;6,39;6,4;0,024;449,909;
19/06/2019;6,4;1,00024620;453.194.946.437,41;894;6,4;6,39;6,4;0,02;459,97;
18/06/2019;6,4;1,00024620;458.929.303.128,04;875;6,4;6,39;6,4;0,025;357,69;
17/06/2019;6,4;1,00024620;456.605.995.755,31;874;6,4;6,39;6,4;0,028;356,628;
14/06/2019;6,4;1,00024620;459.097.411.722,71;911;6,4;6,39;6,4;0,024;500,859;
13/06/2019;6,4;1,00024620;475.086.022.966,18;852;6,4;6,39;6,4;0,023;388,532;
12/06/2019;6,4;1,00024620;467.739.178.499,76;907;6,4;6,39;6,4;0,021;364,758;
11/06/2019;6,4;1,00024620;477.034.887.440,38;847;6,4;6,39;6,4;0,03;229,03;
10/06/2019;6,4;1,00024620;474.861.360.214,64;846;6,4;6,39;6,4;0,02;349,361;
07/06/2019;6,4;1,00024620;456.335.433.525,31;889;6,4;6,39;6,4;0,019;501,243;
06/06/2019;6,4;1,00024620;455.737.045.226,15;892;6,4;6,39;6,4;0,022;539,081;
05/06/2019;6,4;1,00024620;472.711.312.871,63;884;6,4;6,39;6,4;0,023;594,686;
04/06/2019;6,4;1,00024620;473.290.477.835,22;887;6,4;6,39;6,4;0,019;378,701;
03/06/2019;6,4;1,00024620;465.006.636.071,13;878;6,4;6,39;6,4;0,024;552,319;
31/05/2019;6,4;1,00024620;429.542.449.307,24;888;6,4;6,39;6,4;0,028;176,706;
30/05/2019;6,4;1,00024620;528.802.889.192,12;851;6,4;6,39;6,4;0,017;401,436;
29/05/2019;6,4;1,00024620;536.842.133.734,06;823;6,4;6,39;6,4;0,017;484,65;
28/05/2019;6,4;1,00024620;523.347.537.561,98;859;6,4;6,39;6,4;0,024;396,934;
27/05/2019;6,4;1,00024620;513.331.402.022,39;800;6,4;6,39;6,4;0,019;731,661;
24/05/2019;6,4;1,00024620;536.574.804.428,58;796;6,4;6,39;6,4;0,016;507,303;
23/05/2019;6,4;1,00024620;548.700.954.551,69;812;6,4;6,39;6,4;0,017;596,578;
22/05/2019;6,4;1,00024620;558.951.371.666,15;824;6,4;6,39;6,4;0,016;527,16;
21/05/2019;6,4;1,00024620;562.935.450.726,08;864;6,4;6,39;6,4;0,035;394,038;
20/05/2019;6,4;1,00024620;614.069.475.895,35;849;6,4;6,4;6,4;0,016;661,682;
17/05/2019;6,4;1,00024620;602.023.468.269,67;826;6,4;6,39;6,4;0,017;540,501;
16/05/2019;6,4;1,00024620;630.391.025.953,85;826;6,4;6,39;6,4;0,019;620,163;
15/05/2019;6,4;1,00024620;626.324.866.934,44;830;6,4;6,39;6,4;0,04;295,415;
14/05/2019;6,4;1,00024620;507.106.880.870,09;907;6,4;6,39;6,4;0,026;209,573;
13/05/2019;6,4;1,00024620;510.196.687.770,68;872;6,4;6,39;6,4;0,019;508,446;
10/05/2019;6,4;1,00024620;470.410.658.933,95;913;6,4;6,39;6,4;0,041;301,065;
09/05/2019;6,4;1,00024620;488.888.121.593,41;894;6,4;6,39;6,4;0,019;344,09;
08/05/2019;6,4;1,00024620;444.876.523.221,09;886;6,4;6,39;6,4;0,018;331,838;
07/05/2019;6,4;1,00024620;435.395.810.997,28;864;6,4;6,39;6,4;0,018;432,792;
06/05/2019;6,4;1,00024620;431.141.296.100,37;857;6,4;6,39;6,4;0,018;452,471;
03/05/2019;6,4;1,00024620;426.427.562.396,22;863;6,4;6,39;6,4;0,021;380,083;
02/05/2019;6,4;1,00024620;430.554.507.586,04;886;6,4;6,39;6,4;0,018;452,811;
30/04/2019;6,4;1,00024620;442.016.571.173,97;858;6,4;6,39;6,4;0,023;581,363;
29/04/2019;6,4;1,00024620;448.071.995.372,82;851;6,4;6,39;6,4;0,053;921.642,335;
26/04/2019;6,4;1,00024620;428.593.762.536,8;894;6,4;6,39;6,4;0,021;396,065;
25/04/2019;6,4;1,00024620;451.675.169.199,24;861;6,4;6,39;6,4;0,02;433,309;
24/04/2019;6,4;1,00024620;450.298.025.925,63;861;6,4;6,39;6,4;0,02;540,832;
23/04/2019;6,4;1,00024620;460.689.294.853,13;813;6,4;6,39;6,4;0,018;569,919;
22/04/2019;6,4;1,00024620;457.258.540.796,58;836;6,4;6,39;6,4;0,017;588,226;
18/04/2019;6,4;1,00024620;506.416.726.849,89;841;6,4;6,39;6,4;0,023;461,719;
17/04/2019;6,4;1,00024620;520.022.502.261,88;820;6,4;6,39;6,4;0,023;513,847;
16/04/2019;6,4;1,00024620;509.387.546.140,88;849;6,4;6,39;6,4;0,019;374,073;
15/04/2019;6,4;1,00024620;512.743.976.760,77;833;6,4;6,39;6,4;0,017;600,133;
12/04/2019;6,4;1,00024620;525.140.659.278,44;857;6,4;6,39;6,4;0,017;853,74;
11/04/2019;6,4;1,00024620;520.430.410.119,41;834;6,4;6,39;6,4;0,018;511,698;
10/04/2019;6,4;1,00024620;520.501.083.438,98;822;6,4;6,39;6,4;0,018;539,998;
09/04/2019;6,4;1,00024620;506.411.531.108,95;833;6,4;6,39;6,4;0,016;595,99;
08/04/2019;6,4;1,00024620;504.916.435.465,38;871;6,4;6,39;6,4;0,017;712,388;
05/04/2019;6,4;1,00024620;498.472.231.656,38;852;6,4;6,39;6,4;0,024;556,465;
04/04/2019;6,4;1,00024620;523.427.747.004,54;863;6,4;6,39;6,4;0,017;649,7;
03/04/2019;6,4;1,00024620;525.652.088.443,72;845;6,4;6,39;6,4;0,018;352,128;
02/04/2019;6,4;1,00024620;518.910.601.113,5;823;6,4;6,39;6,4;0,019;543,024;
01/04/2019;6,4;1,00024620;510.478.478.231,18;855;6,4;6,39;6,4;0,029;200,077;
29/03/2019;6,4;1,00024620;372.101.048.386,07;897;6,39;6,39;6,4;0,063;139,252;
28/03/2019;6,4;1,00024620;385.890.369.365;855;6,4;6,39;6,4;0,023;373,94;
27/03/2019;6,4;1,00024620;370.892.956.314,31;852;6,4;6,39;6,4;0,02;610,576;
26/03/2019;6,4;1,00024620;361.808.427.630,65;866;6,4;6,39;6,4;0,027;372,662;
25/03/2019;6,4;1,00024620;377.164.420.565,89;857;6,4;6,39;6,4;0,021;354,448;
22/03/2019;6,4;1,00024620;365.118.258.788,66;862;6,4;6,39;6,4;0,02;464,021;
21/03/2019;6,4;1,00024620;388.695.697.943,31;829;6,4;6,39;6,4;0,024;372,43;
